"state","packs","rprice","salestax","rincome","cigtax"
"AL",101.085433959961,103.918205527776,0.921697484042459,12.9153465744632,26.5748068832886
"AR",111.04296875,115.185379996837,5.48501928703142,12.1690728198846,36.4173245210235
"AZ",71.9541702270508,130.31988672301,6.20570674607278,13.5396382865915,42.8696399425605
"CA",56.8593063354492,138.126429748883,9.03630736536663,16.0735911513303,40.0262485726564
"CO",82.5829238891602,109.809720375982,0,16.3155573854885,28.8713924130636
"CT",79.4721908569336,143.22868269505,8.10728335939929,20.9623591633126,48.556432694698
"DE",124.466598510742,108.661426359553,0,16.6607339581597,31.4960644506149
"FL",93.0745544433594,123.174007242356,6.97211550661056,15.427736600283,37.9921287447871
"GA",97.4746246337891,102.738242513946,0.939249097208609,14.5865462300457,23.6220483379612
"IA",92.4015960693359,125.255910911546,5.96456480237618,13.8979879504014,39.3700805632686
"ID",74.8497848510742,117.872388796266,5.61297184861546,12.8805611272524,34.1207364881661
"IL",83.2650756835938,130.2337106052,7.37171757910014,16.8262304278237,44.6194296445357
"IN",134.258346557617,101.400104722706,4.82857593858938,14.3342985402577,25.9186363708185
"KS",88.7534408569336,114.967201330263,5.47462899235762,14.3631402035672,31.4960644506149
"KY",172.64778137207,95.7871929480662,5.42191658196601,12.6084592117193,17.7165362534709
"LA",105.176132202148,110.101940217321,4.2346896232689,12.8221290250404,28.8713924130636
"MA",76.6206436157227,142.457362887018,6.78368347022325,18.4058450857361,49.2126007040858
"MD",77.4735488891602,122.069397018422,5.81282795267109,17.6482119178379,39.3700805632686
"ME",102.469779968262,129.416444218263,7.32546061798912,13.2809406661493,40.0262485726564
"MI",81.3882522583008,158.037848794742,8.94554059459782,15.7315487387443,64.9606329293932
"MN",82.9452972412109,144.585743788562,9.45888272730842,16.130749369641,47.2440966759223
"MO",122.45027923584,103.169353386569,0.911034353396737,14.4970973275554,26.9028908879825
"MS",105.582450866699,111.042918944406,7.26449053905286,11.2764336018738,27.559056394288
"MT",87.1595687866211,102.504384539775,0,12.3122520572554,27.559056394288
"NC",121.538063049316,98.4212665627783,3.78543390697201,14.3950317786293,19.0288722722465
"ND",79.8069686889648,126.147428732162,7.1404227612158,12.5223941270966,44.6194246383711
"NE",87.2707061767578,119.53740911269,5.6922594839051,14.56408529624,38.057744544493
"NH",156.33674621582,109.344928027779,0,16.4096209333318,32.1522324600027
"NJ",80.3713684082031,133.259306342701,7.5429784708326,19.2107921960788,41.9947526008199
"NM",64.6688690185547,115.581527815737,5.50388251532864,12.3697808406746,29.5275604224515
"NV",93.5261154174805,135.563764066345,8.86865591832693,16.9344008375553,38.7139125538808
"NY",70.8173217773438,145.576123348142,5.59907974178829,18.1896859119658,52.4934407510248
"OH",111.380104064941,108.852531687849,5.18345293634239,15.0175501644556,31.4960644506149
"OK",108.680107116699,111.637140672757,5.31605372177833,12.7259798707417,30.8398964412271
"OR",92.1557464599609,124.868774188966,0,14.8739288700609,40.6824165820442
"PA",95.6430892944336,115.592631488869,6.5429770628488,15.5763474284436,36.0892405163296
"RI",92.5998001098633,147.282975176151,9.63533501175432,15.7783941652992,52.4934407510248
"SC",108.082748413086,100.274768977236,4.77498995247116,12.7777515276555,20.3412082910221
"SD",97.2192306518555,110.261156276972,4.24081466568442,13.0234452865353,30.8398964412271
"TN",122.320053100586,109.624021705478,8.12029688433523,14.3047782963574,24.278216347349
"TX",73.0793075561523,130.054029344573,7.36155005875204,14.1245818237092,42.6509206102077
"UT",49.2721977233887,118.750830514889,5.65480085711796,12.3740879892799,33.1364844740844
"VA",105.386871337891,109.35778385853,5.20751381505882,16.0470608757427,17.3884560034004
"VT",122.334754943848,115.248527757384,5.48802548888717,14.0150982621621,28.8713924130636
"WA",65.5309219360352,156.895902595055,10.26421942395,15.6678396908566,52.8215247557187
"WI",92.4663467407227,132.139937945461,6.29237847418047,14.8119472741013,40.6824165820442
"WV",115.568832397461,109.2632474458,6.18471089164642,11.7537849931737,26.9028883849002
"WY",112.238136291504,104.029963146806,0,14.1166425401153,23.6220483379612
