"year","id","y","x1","x2","x3","x4","x5","x6","d1"
2000,1,0.0398848988115788,0.289696007966995,0.402061998844147,0.472222000360489,5.6100001335144,0.0876968204975128,229.119995117188,0
2001,1,0.0383449010550976,0.338111013174057,0.433005005121231,0.506992995738983,5.59000015258789,0.0863766595721245,240.330001831055,0
2002,1,0.0303048007190228,0.330448985099792,0.525703012943268,0.479705005884171,5.80000019073486,0.0850908532738686,269.700012207031,0
2003,1,0.0347259007394314,0.36252498626709,0.604705989360809,0.520103991031647,6.8899998664856,0.0838332772254944,281.739990234375,0
2004,1,0.0365730002522469,0.325394988059998,0.578723013401031,0.497058987617493,6.55000019073486,0.0823064595460892,298.880004882813,0
2005,1,0.0347523987293243,0.326061993837357,0.512323975563049,0.439862996339798,6.90000009536743,0.0800806209445,322.649993896484,0
2006,1,0.0356036014854908,0.298269987106323,0.527595996856689,0.436170011758804,6.71000003814697,0.0778709724545479,334.540008544922,0
2000,3,0.0163921006023884,0.202898994088173,0.869047999382019,0.465752989053726,8.44999980926514,0.087004616856575,210.75,0
2001,3,0.0190651006996632,0.162218004465103,0.772152006626129,0.377048999071121,5.71000003814697,0.0864721685647964,217.770004272461,0
2002,3,0.015149200335145,0.181585997343063,1.02816998958588,0.438356012105942,8.6899995803833,0.0859426036477089,236.639999389648,0
2003,3,0.0136620998382568,0.194986000657082,0.885713994503021,0.5,8.01000022888184,0.0854993164539337,255.220001220703,0
2004,3,0.0120345996692777,0.206897005438805,0.909090995788574,0.366667002439499,8.59000015258789,0.0848610103130341,262.059997558594,0
2005,3,0.0129982000216842,0.156068995594978,1.03703999519348,0.392856985330582,6.03000020980835,0.083637036383152,279.380004882813,0
2006,3,0.0152532001957297,0.132028996944427,1.48148000240326,0.449999988079071,6.34999990463257,0.0826069414615631,300.380004882813,0
2000,5,0.00933715980499983,0.40659299492836,0.270269989967346,0.5,5.53000020980835,0.073852501809597,157.240005493164,0
2001,5,0.0123228998854756,0.379999995231628,0.736841976642609,0.392856985330582,9.69999980926514,0.0737947225570679,164.619995117188,0
2002,5,0.0128063997253776,0.561905026435852,0.559321999549866,0.272727012634277,6.34000015258789,0.0738740563392639,178.169998168945,0
