"ahe","yrseduc"
23.0769233703613,16
27.7777786254883,13
12.9807691574097,16
11.5384616851807,16
5.49450540542603,13
6.53846168518066,16
14.3990383148193,12
26.4423084259033,12
24.4755249023438,16
19.230770111084,12
8.65384578704834,12
24.0384616851807,18
51.4423065185547,14
11.5384616851807,16
13.4615383148193,14
64.6153869628906,18
19.230770111084,16
31.9526634216309,18
31.4423084259033,14
38.461540222168,16
16.4835166931152,16
21.9230766296387,16
13.4615383148193,13
11,12
12.0192308425903,12
14.4230766296387,14
11.5384616851807,12
20.5128211975098,12
15.5,10
16.3461532592773,12
19.230770111084,18
11.0946741104126,14
22.5961532592773,14
19.9409008026123,14
29.3269233703613,12
15,16
17.3076915740967,16
12.9807691574097,16
30.1171321868896,12
30.769229888916,16
15,14
16.8269233703613,16
44.230770111084,18
38.461540222168,18
13.0961542129517,16
19.6678314208984,12
9.89011001586914,13
18.1623935699463,14
20.6043949127197,14
13.7362632751465,16
13.2692308425903,16
16.8269233703613,12
30.769229888916,16
19.230770111084,12
16.8269233703613,16
14.4230766296387,12
20.384614944458,12
18.269229888916,13
14.529914855957,13
48.0778846740723,16
18,16
31.25,12
17.4825172424316,12
9.61538505554199,12
14.4230766296387,12
46.1538467407227,12
18.269229888916,12
25,16
9.60000038146973,12
13.7019233703613,16
21.634614944458,13
28.8461532592773,16
27.4038467407227,16
27.5467777252197,16
50.961540222168,18
42.788459777832,16
54.3269233703613,16
24.6096153259277,12
13.7362632751465,18
14.9572649002075,16
26.4423084259033,18
16.8269233703613,14
23.7496299743652,12
12.0192308425903,13
21.634614944458,12
48.0769233703613,18
16.8269233703613,13
48.0769233703613,18
7.692307472229,13
12.0879125595093,16
8.89423084259033,12
12.5,16
26.4423084259033,16
20,12
29.914529800415,16
19.047435760498,18
64.1025619506836,16
12.0192308425903,16
34.9650344848633,18
27.7243595123291,16
21.7948722839355,16
20.3402366638184,16
63.461540222168,18
22.2222213745117,18
31.25,18
7.692307472229,9
81.7307662963867,13
9.13461494445801,12
16.3999996185303,9
11.6396760940552,13
13.4168157577515,12
32.968132019043,14
6.73076915740967,12
17.7884616851807,18
11.057692527771,12
52.8846168518066,18
19.230770111084,16
9.89011001586914,13
14.2857141494751,13
33.6538467407227,16
21.9230766296387,14
50.480770111084,18
37.5,18
21.1538467407227,12
14.182692527771,16
12.0192308425903,12
42.7350425720215,16
28.8461532592773,12
29.8076915740967,14
25,16
16.4835166931152,13
20.6730766296387,16
24.0384616851807,16
4.807692527771,13
14.4230766296387,13
14.4230766296387,16
20.0909099578857,13
19.230770111084,16
24.0384616851807,18
25,12
27.644229888916,16
26.0416660308838,18
27.027027130127,16
4.807692527771,14
23.4375,18
21.1538467407227,12
20.1923084259033,12
39.0625,16
17.7884616851807,18
26.4423084259033,12
19.230770111084,13
33.6538467407227,13
22.3076915740967,14
12.884614944458,16
52.8846168518066,18
21.9780216217041,16
33.6538467407227,16
14.4230766296387,12
10.4166669845581,13
16.3461532592773,13
7.21153831481934,13
10.5769233703613,12
8.38264274597168,10
13.7362632751465,12
24.0384616851807,18
4.52488708496094,16
21.1538467407227,18
16.8269233703613,16
4.807692527771,14
8.65384578704834,12
16.3461532592773,12
14.529914855957,12
18.269229888916,16
26.4423084259033,16
23.894229888916,12
13.4615383148193,13
28.6538467407227,12
8.5059175491333,12
12.5,14
33.6538467407227,16
40.8653831481934,16
7.5,12
33.6538467407227,12
48.0769233703613,16
65.7894744873047,16
24.7252750396729,13
33.6538467407227,12
24.0384616851807,12
17.3076915740967,16
10.432692527771,12
19.230770111084,16
14.4230766296387,12
19.230770111084,18
33.5,18
28.8461532592773,12
24.0384616851807,14
14.4230766296387,13
21.634614944458,16
36.1538467407227,18
42.3076934814453,18
28.8461532592773,16
17.1568622589111,14
23.0769233703613,16
13.4615383148193,11
6.41025638580322,12
16.8269233703613,16
28.8461532592773,18
48.0769233703613,14
13.4615383148193,16
32.4000015258789,18
43.269229888916,16
32.9670333862305,18
96.1538467407227,18
12.0879125595093,12
39.4230766296387,16
15.384614944458,16
18.269229888916,16
37.5,18
28.6813182830811,16
20.4627227783203,16
34.1880340576172,16
38.461540222168,16
36.0576934814453,16
35.7142868041992,16
45.1923065185547,16
57.6923065185547,16
31.730770111084,18
33.6538467407227,13
7.14983987808228,18
33.6538467407227,16
7.692307472229,12
28.8461532592773,16
28.8461532592773,14
24.0384616851807,16
24.0384616851807,12
17.8571434020996,16
19.230770111084,12
7.692307472229,13
8.65384578704834,13
60.0961532592773,16
24.0384616851807,16
13.6363639831543,12
50,16
7.21153831481934,14
32.211540222168,16
25,16
12.0192308425903,12
7.21153831481934,12
25,16
16.8269233703613,14
16.8269233703613,12
28.8461532592773,13
16.8269233703613,18
9.61538505554199,16
17,14
43.269229888916,12
29.1208782196045,18
28.365385055542,14
28.8461532592773,16
14.4230766296387,13
24.0384616851807,18
17.115385055542,13
19.230770111084,16
18.269229888916,16
15.9340658187866,12
15.182186126709,16
7.21153831481934,12
33.6538467407227,16
25.8241748809814,18
7.5,12
6.31868124008179,13
16.8269233703613,12
50,16
24.0384616851807,16
13.4615383148193,12
24.0384616851807,12
43.9560432434082,16
22.115385055542,12
43.269229888916,16
25,18
38.461540222168,16
26.4423084259033,18
30.2884616851807,18
27.4038467407227,16
14.4230766296387,16
9.61538505554199,12
17.5,12
36.0576934814453,18
14.4230766296387,14
25.9875259399414,16
16.8269233703613,12
24.0384616851807,14
41.1538467407227,18
27.7777786254883,16
9.89011001586914,13
12.0192308425903,12
24.0384616851807,14
24.0384616851807,12
22.5961532592773,12
21.1538467407227,12
84.6153869628906,18
67.3076934814453,18
13.4615383148193,12
41.538459777832,13
17.7884616851807,13
14.4230766296387,14
38.461540222168,12
38.461540222168,16
11.5384616851807,16
16.8269233703613,12
24.5974960327148,16
8.60323905944824,16
29.2467956542969,18
17.6715183258057,13
20.6043949127197,13
12.5,16
16.8269233703613,13
31.25,16
64.9038467407227,18
11.5384616851807,16
18.75,12
28.8461532592773,18
17.3076915740967,16
12.0192308425903,13
12.222222328186,12
9.61538505554199,9
9.61538505554199,11
21.634614944458,13
28.8461532592773,12
16.3461532592773,12
12.0201921463013,12
6.25096130371094,12
12.0192308425903,13
21.634614944458,18
13.942307472229,16
13.7959861755371,12
29.8076915740967,14
